938: done 151 games, mean reward -21.000, eps 0.99, speed 515.78 f/s
27563: done 180 games, mean reward -20.300, eps 0.72, speed 13.31 f/s
28561: done 181 games, mean reward -20.226, eps 0.71, speed 14.09 f/s
29396: done 182 games, mean reward -20.219, eps 0.71, speed 15.23 f/s
30237: done 183 games, mean reward -20.212, eps 0.70, speed 15.27 f/s
31077: done 184 games, mean reward -20.206, eps 0.69, speed 15.36 f/s
31899: done 185 games, mean reward -20.229, eps 0.68, speed 15.46 f/s
32889: done 186 games, mean reward -20.222, eps 0.67, speed 15.61 f/s
33986: done 187 games, mean reward -20.189, eps 0.66, speed 15.65 f/s
34808: done 188 games, mean reward -20.211, eps 0.65, speed 15.63 f/s
35589: done 189 games, mean reward -20.231, eps 0.64, speed 15.21 f/s
36381: done 190 games, mean reward -20.250, eps 0.64, speed 15.47 f/s
37203: done 191 games, mean reward -20.268, eps 0.63, speed 15.09 f/s
37993: done 192 games, mean reward -20.286, eps 0.62, speed 15.17 f/s
38816: done 193 games, mean reward -20.302, eps 0.61, speed 15.04 f/s
39694: done 194 games, mean reward -20.318, eps 0.60, speed 15.37 f/s
40475: done 195 games, mean reward -20.333, eps 0.60, speed 15.41 f/s
41369: done 196 games, mean reward -20.348, eps 0.59, speed 15.37 f/s
42327: done 197 games, mean reward -20.340, eps 0.58, speed 15.44 f/s
43211: done 198 games, mean reward -20.354, eps 0.57, speed 15.34 f/s
44080: done 199 games, mean reward -20.367, eps 0.56, speed 15.97 f/s
44994: done 200 games, mean reward -20.380, eps 0.55, speed 15.33 f/s
45984: done 201 games, mean reward -20.373, eps 0.54, speed 15.53 f/s
46868: done 202 games, mean reward -20.385, eps 0.53, speed 15.44 f/s
47762: done 203 games, mean reward -20.377, eps 0.52, speed 15.78 f/s
48552: done 204 games, mean reward -20.389, eps 0.51, speed 15.69 f/s
49376: done 205 games, mean reward -20.400, eps 0.51, speed 15.72 f/s
50217: done 206 games, mean reward -20.393, eps 0.50, speed 15.51 f/s
51123: done 207 games, mean reward -20.404, eps 0.49, speed 11.95 f/s
51913: done 208 games, mean reward -20.414, eps 0.48, speed 13.08 f/s
52735: done 209 games, mean reward -20.424, eps 0.47, speed 15.18 f/s
53557: done 210 games, mean reward -20.433, eps 0.46, speed 14.41 f/s
54475: done 211 games, mean reward -20.426, eps 0.46, speed 14.64 f/s
55387: done 212 games, mean reward -20.435, eps 0.45, speed 15.50 f/s
56287: done 213 games, mean reward -20.429, eps 0.44, speed 15.40 f/s
57169: done 214 games, mean reward -20.438, eps 0.43, speed 15.25 f/s
57991: done 215 games, mean reward -20.446, eps 0.42, speed 15.81 f/s
58781: done 216 games, mean reward -20.455, eps 0.41, speed 15.41 f/s
59785: done 217 games, mean reward -20.463, eps 0.40, speed 15.81 f/s
60626: done 218 games, mean reward -20.456, eps 0.39, speed 16.10 f/s
61621: done 219 games, mean reward -20.435, eps 0.38, speed 14.57 f/s
62485: done 220 games, mean reward -20.429, eps 0.38, speed 13.07 f/s
63431: done 221 games, mean reward -20.423, eps 0.37, speed 14.02 f/s
64332: done 222 games, mean reward -20.431, eps 0.36, speed 12.66 f/s
65318: done 223 games, mean reward -20.425, eps 0.35, speed 13.08 f/s
66200: done 224 games, mean reward -20.432, eps 0.34, speed 14.75 f/s
67082: done 225 games, mean reward -20.440, eps 0.33, speed 14.94 f/s
67905: done 226 games, mean reward -20.447, eps 0.32, speed 15.72 f/s
68741: done 227 games, mean reward -20.442, eps 0.31, speed 15.10 f/s
69522: done 228 games, mean reward -20.449, eps 0.30, speed 15.12 f/s
70358: done 229 games, mean reward -20.443, eps 0.30, speed 15.04 f/s
71351: done 230 games, mean reward -20.425, eps 0.29, speed 15.48 f/s
72191: done 231 games, mean reward -20.420, eps 0.28, speed 15.12 f/s
72953: done 232 games, mean reward -20.427, eps 0.27, speed 15.06 f/s
73775: done 233 games, mean reward -20.434, eps 0.26, speed 15.00 f/s
74599: done 234 games, mean reward -20.440, eps 0.25, speed 15.30 f/s
75423: done 235 games, mean reward -20.447, eps 0.25, speed 15.00 f/s
76215: done 236 games, mean reward -20.453, eps 0.24, speed 15.09 f/s
77051: done 237 games, mean reward -20.448, eps 0.23, speed 15.36 f/s
77873: done 238 games, mean reward -20.455, eps 0.22, speed 16.19 f/s
78635: done 239 games, mean reward -20.461, eps 0.21, speed 15.14 f/s
762: done 151 games, mean reward -21.000, eps 0.02, speed 264.88 f/s
1524: done 152 games, mean reward -21.000, eps 0.02, speed 302.03 f/s
2286: done 153 games, mean reward -21.000, eps 0.02, speed 247.35 f/s
3048: done 154 games, mean reward -21.000, eps 0.02, speed 277.70 f/s
3810: done 155 games, mean reward -21.000, eps 0.02, speed 321.76 f/s
4572: done 156 games, mean reward -21.000, eps 0.02, speed 324.56 f/s
5396: done 157 games, mean reward -21.000, eps 0.02, speed 323.36 f/s
6158: done 158 games, mean reward -21.000, eps 0.02, speed 327.67 f/s
6920: done 159 games, mean reward -21.000, eps 0.02, speed 330.58 f/s
7682: done 160 games, mean reward -21.000, eps 0.02, speed 329.08 f/s
8444: done 161 games, mean reward -21.000, eps 0.02, speed 326.77 f/s
9206: done 162 games, mean reward -21.000, eps 0.02, speed 331.03 f/s
10030: done 163 games, mean reward -21.000, eps 0.02, speed 187.50 f/s
10792: done 164 games, mean reward -21.000, eps 0.02, speed 14.97 f/s
11554: done 165 games, mean reward -21.000, eps 0.02, speed 14.69 f/s
12316: done 166 games, mean reward -21.000, eps 0.02, speed 14.58 f/s
13078: done 167 games, mean reward -21.000, eps 0.02, speed 14.20 f/s
13840: done 168 games, mean reward -21.000, eps 0.02, speed 14.28 f/s
14630: done 169 games, mean reward -21.000, eps 0.02, speed 14.50 f/s
15392: done 170 games, mean reward -21.000, eps 0.02, speed 14.87 f/s
16274: done 171 games, mean reward -21.000, eps 0.02, speed 14.63 f/s
17064: done 172 games, mean reward -21.000, eps 0.02, speed 14.93 f/s
17854: done 173 games, mean reward -21.000, eps 0.02, speed 14.51 f/s
18644: done 174 games, mean reward -21.000, eps 0.02, speed 14.98 f/s
19434: done 175 games, mean reward -21.000, eps 0.02, speed 15.03 f/s
20224: done 176 games, mean reward -21.000, eps 0.02, speed 14.85 f/s
20986: done 177 games, mean reward -21.000, eps 0.02, speed 14.61 f/s
21748: done 178 games, mean reward -21.000, eps 0.02, speed 14.07 f/s
22510: done 179 games, mean reward -21.000, eps 0.02, speed 12.71 f/s
23272: done 180 games, mean reward -21.000, eps 0.02, speed 13.62 f/s
24034: done 181 games, mean reward -21.000, eps 0.02, speed 12.34 f/s
24796: done 182 games, mean reward -21.000, eps 0.02, speed 14.20 f/s
25586: done 183 games, mean reward -21.000, eps 0.02, speed 14.27 f/s
26348: done 184 games, mean reward -21.000, eps 0.02, speed 12.63 f/s
27110: done 185 games, mean reward -21.000, eps 0.02, speed 14.69 f/s
27872: done 186 games, mean reward -21.000, eps 0.02, speed 13.86 f/s
28634: done 187 games, mean reward -21.000, eps 0.02, speed 15.80 f/s
29396: done 188 games, mean reward -21.000, eps 0.02, speed 14.39 f/s
30158: done 189 games, mean reward -21.000, eps 0.02, speed 14.75 f/s
30948: done 190 games, mean reward -21.000, eps 0.02, speed 14.71 f/s
31729: done 191 games, mean reward -21.000, eps 0.02, speed 14.68 f/s
32491: done 192 games, mean reward -21.000, eps 0.02, speed 14.71 f/s
33253: done 193 games, mean reward -21.000, eps 0.02, speed 14.08 f/s
34093: done 194 games, mean reward -20.977, eps 0.02, speed 14.03 f/s
34855: done 195 games, mean reward -20.978, eps 0.02, speed 14.93 f/s
35617: done 196 games, mean reward -20.978, eps 0.02, speed 14.64 f/s
36379: done 197 games, mean reward -20.979, eps 0.02, speed 14.61 f/s
37203: done 198 games, mean reward -20.979, eps 0.02, speed 14.65 f/s
37965: done 199 games, mean reward -20.980, eps 0.02, speed 15.52 f/s
38806: done 200 games, mean reward -20.980, eps 0.02, speed 14.88 f/s
39568: done 201 games, mean reward -20.980, eps 0.02, speed 14.65 f/s
40348: done 202 games, mean reward -20.981, eps 0.02, speed 14.58 f/s
41110: done 203 games, mean reward -20.981, eps 0.02, speed 14.88 f/s
41900: done 204 games, mean reward -20.981, eps 0.02, speed 14.69 f/s
42662: done 205 games, mean reward -20.982, eps 0.02, speed 15.23 f/s
43424: done 206 games, mean reward -20.982, eps 0.02, speed 14.29 f/s
44186: done 207 games, mean reward -20.982, eps 0.02, speed 13.25 f/s
44948: done 208 games, mean reward -20.983, eps 0.02, speed 14.05 f/s
45710: done 209 games, mean reward -20.983, eps 0.02, speed 14.43 f/s
46472: done 210 games, mean reward -20.983, eps 0.02, speed 14.41 f/s
47296: done 211 games, mean reward -20.984, eps 0.02, speed 14.65 f/s
48058: done 212 games, mean reward -20.984, eps 0.02, speed 14.41 f/s
48820: done 213 games, mean reward -20.984, eps 0.02, speed 14.49 f/s
49642: done 214 games, mean reward -20.984, eps 0.02, speed 14.41 f/s
50466: done 215 games, mean reward -20.985, eps 0.02, speed 14.41 f/s
51228: done 216 games, mean reward -20.985, eps 0.02, speed 15.02 f/s
51990: done 217 games, mean reward -20.985, eps 0.02, speed 14.70 f/s
52812: done 218 games, mean reward -20.985, eps 0.02, speed 14.44 f/s
53634: done 219 games, mean reward -20.986, eps 0.02, speed 14.26 f/s
54470: done 220 games, mean reward -20.971, eps 0.02, speed 14.78 f/s
55232: done 221 games, mean reward -20.972, eps 0.02, speed 14.47 f/s
55994: done 222 games, mean reward -20.972, eps 0.02, speed 14.94 f/s
56817: done 223 games, mean reward -20.973, eps 0.02, speed 14.63 f/s
57819: done 224 games, mean reward -20.973, eps 0.02, speed 14.82 f/s
58761: done 225 games, mean reward -20.973, eps 0.02, speed 14.24 f/s
59523: done 226 games, mean reward -20.974, eps 0.02, speed 14.23 f/s
60313: done 227 games, mean reward -20.974, eps 0.02, speed 14.60 f/s
61135: done 228 games, mean reward -20.974, eps 0.02, speed 14.48 f/s
61925: done 229 games, mean reward -20.975, eps 0.02, speed 14.61 f/s
62867: done 230 games, mean reward -20.975, eps 0.02, speed 14.55 f/s
63657: done 231 games, mean reward -20.975, eps 0.02, speed 14.74 f/s
64419: done 232 games, mean reward -20.976, eps 0.02, speed 14.06 f/s
65209: done 233 games, mean reward -20.976, eps 0.02, speed 14.63 f/s
65971: done 234 games, mean reward -20.976, eps 0.02, speed 14.81 f/s
66733: done 235 games, mean reward -20.976, eps 0.02, speed 15.37 f/s
67583: done 236 games, mean reward -20.977, eps 0.02, speed 15.66 f/s
68419: done 237 games, mean reward -20.966, eps 0.02, speed 15.28 f/s
69301: done 238 games, mean reward -20.966, eps 0.02, speed 14.80 f/s
70091: done 239 games, mean reward -20.966, eps 0.02, speed 14.66 f/s
70913: done 240 games, mean reward -20.967, eps 0.02, speed 14.77 f/s
71675: done 241 games, mean reward -20.967, eps 0.02, speed 14.99 f/s
72437: done 242 games, mean reward -20.967, eps 0.02, speed 14.98 f/s
73199: done 243 games, mean reward -20.968, eps 0.02, speed 14.75 f/s
73961: done 244 games, mean reward -20.968, eps 0.02, speed 15.02 f/s
74723: done 245 games, mean reward -20.968, eps 0.02, speed 14.81 f/s
75545: done 246 games, mean reward -20.969, eps 0.02, speed 15.08 f/s
76307: done 247 games, mean reward -20.969, eps 0.02, speed 14.87 f/s
77069: done 248 games, mean reward -20.969, eps 0.02, speed 14.58 f/s
77831: done 249 games, mean reward -20.970, eps 0.02, speed 15.09 f/s
78593: done 250 games, mean reward -20.970, eps 0.02, speed 14.58 f/s
79373: done 251 games, mean reward -20.970, eps 0.02, speed 14.54 f/s
80135: done 252 games, mean reward -20.970, eps 0.02, speed 15.26 f/s
80959: done 253 games, mean reward -20.970, eps 0.02, speed 15.25 f/s
81721: done 254 games, mean reward -20.970, eps 0.02, speed 13.80 f/s
82501: done 255 games, mean reward -20.970, eps 0.02, speed 14.69 f/s
83291: done 256 games, mean reward -20.970, eps 0.02, speed 13.83 f/s
84131: done 257 games, mean reward -20.960, eps 0.02, speed 15.52 f/s
85016: done 258 games, mean reward -20.960, eps 0.02, speed 14.58 f/s
85778: done 259 games, mean reward -20.960, eps 0.02, speed 15.09 f/s
86540: done 260 games, mean reward -20.960, eps 0.02, speed 14.88 f/s
87302: done 261 games, mean reward -20.960, eps 0.02, speed 13.68 f/s
88092: done 262 games, mean reward -20.960, eps 0.02, speed 15.11 f/s
88854: done 263 games, mean reward -20.960, eps 0.02, speed 14.60 f/s
89736: done 264 games, mean reward -20.960, eps 0.02, speed 15.12 f/s
90572: done 265 games, mean reward -20.950, eps 0.02, speed 14.54 f/s
91334: done 266 games, mean reward -20.950, eps 0.02, speed 13.72 f/s
92096: done 267 games, mean reward -20.950, eps 0.02, speed 14.40 f/s
92858: done 268 games, mean reward -20.950, eps 0.02, speed 14.30 f/s
93620: done 269 games, mean reward -20.950, eps 0.02, speed 13.56 f/s
94382: done 270 games, mean reward -20.950, eps 0.02, speed 14.48 f/s
95144: done 271 games, mean reward -20.950, eps 0.02, speed 14.57 f/s
95906: done 272 games, mean reward -20.950, eps 0.02, speed 14.54 f/s
96696: done 273 games, mean reward -20.950, eps 0.02, speed 13.74 f/s
97458: done 274 games, mean reward -20.950, eps 0.02, speed 14.67 f/s
98220: done 275 games, mean reward -20.950, eps 0.02, speed 14.72 f/s
98982: done 276 games, mean reward -20.950, eps 0.02, speed 13.86 f/s
99804: done 277 games, mean reward -20.950, eps 0.02, speed 14.14 f/s
100566: done 278 games, mean reward -20.950, eps 0.02, speed 14.46 f/s
101328: done 279 games, mean reward -20.950, eps 0.02, speed 14.84 f/s
102090: done 280 games, mean reward -20.950, eps 0.02, speed 14.86 f/s
102852: done 281 games, mean reward -20.950, eps 0.02, speed 0.45 f/s
103614: done 282 games, mean reward -20.950, eps 0.02, speed 14.17 f/s
104376: done 283 games, mean reward -20.950, eps 0.02, speed 13.73 f/s
105138: done 284 games, mean reward -20.950, eps 0.02, speed 14.30 f/s
105900: done 285 games, mean reward -20.950, eps 0.02, speed 13.85 f/s
106662: done 286 games, mean reward -20.950, eps 0.02, speed 14.68 f/s
107424: done 287 games, mean reward -20.950, eps 0.02, speed 15.22 f/s
108186: done 288 games, mean reward -20.950, eps 0.02, speed 15.05 f/s
108948: done 289 games, mean reward -20.950, eps 0.02, speed 15.07 f/s
109770: done 290 games, mean reward -20.950, eps 0.02, speed 15.09 f/s
110606: done 291 games, mean reward -20.940, eps 0.02, speed 15.14 f/s
111368: done 292 games, mean reward -20.940, eps 0.02, speed 15.04 f/s
112130: done 293 games, mean reward -20.940, eps 0.02, speed 15.02 f/s
112970: done 294 games, mean reward -20.940, eps 0.02, speed 15.07 f/s
113792: done 295 games, mean reward -20.940, eps 0.02, speed 14.99 f/s
114554: done 296 games, mean reward -20.940, eps 0.02, speed 15.49 f/s
115316: done 297 games, mean reward -20.940, eps 0.02, speed 15.61 f/s
116078: done 298 games, mean reward -20.940, eps 0.02, speed 14.79 f/s
116868: done 299 games, mean reward -20.940, eps 0.02, speed 14.67 f/s
117752: done 300 games, mean reward -20.940, eps 0.02, speed 14.67 f/s
118694: done 301 games, mean reward -20.940, eps 0.02, speed 14.79 f/s
119456: done 302 games, mean reward -20.940, eps 0.02, speed 15.18 f/s
120306: done 303 games, mean reward -20.940, eps 0.02, speed 14.85 f/s
121096: done 304 games, mean reward -20.940, eps 0.02, speed 14.86 f/s
121858: done 305 games, mean reward -20.940, eps 0.02, speed 15.16 f/s
122740: done 306 games, mean reward -20.940, eps 0.02, speed 15.57 f/s
123502: done 307 games, mean reward -20.940, eps 0.02, speed 14.84 f/s
124384: done 308 games, mean reward -20.940, eps 0.02, speed 15.16 f/s
125146: done 309 games, mean reward -20.940, eps 0.02, speed 15.07 f/s
125970: done 310 games, mean reward -20.940, eps 0.02, speed 14.79 f/s
126760: done 311 games, mean reward -20.940, eps 0.02, speed 13.76 f/s
127522: done 312 games, mean reward -20.940, eps 0.02, speed 14.72 f/s
128284: done 313 games, mean reward -20.940, eps 0.02, speed 13.86 f/s
129046: done 314 games, mean reward -20.940, eps 0.02, speed 14.64 f/s
129808: done 315 games, mean reward -20.940, eps 0.02, speed 14.69 f/s
130570: done 316 games, mean reward -20.940, eps 0.02, speed 14.75 f/s
131392: done 317 games, mean reward -20.940, eps 0.02, speed 14.87 f/s
132154: done 318 games, mean reward -20.940, eps 0.02, speed 14.97 f/s
132916: done 319 games, mean reward -20.940, eps 0.02, speed 14.75 f/s
133678: done 320 games, mean reward -20.950, eps 0.02, speed 13.68 f/s
134468: done 321 games, mean reward -20.950, eps 0.02, speed 14.75 f/s
135290: done 322 games, mean reward -20.950, eps 0.02, speed 13.82 f/s
136108: done 323 games, mean reward -20.950, eps 0.02, speed 14.55 f/s
136870: done 324 games, mean reward -20.950, eps 0.02, speed 15.15 f/s
137660: done 325 games, mean reward -20.950, eps 0.02, speed 15.06 f/s
138422: done 326 games, mean reward -20.950, eps 0.02, speed 15.23 f/s
139402: done 327 games, mean reward -20.940, eps 0.02, speed 15.77 f/s
140303: done 328 games, mean reward -20.930, eps 0.02, speed 15.25 f/s
141065: done 329 games, mean reward -20.930, eps 0.02, speed 15.10 f/s
141827: done 330 games, mean reward -20.930, eps 0.02, speed 13.57 f/s
142589: done 331 games, mean reward -20.930, eps 0.02, speed 14.77 f/s
143411: done 332 games, mean reward -20.930, eps 0.02, speed 14.74 f/s
144173: done 333 games, mean reward -20.930, eps 0.02, speed 14.00 f/s
144935: done 334 games, mean reward -20.930, eps 0.02, speed 14.12 f/s
145725: done 335 games, mean reward -20.930, eps 0.02, speed 14.88 f/s
146547: done 336 games, mean reward -20.930, eps 0.02, speed 14.39 f/s
147309: done 337 games, mean reward -20.940, eps 0.02, speed 14.89 f/s
148071: done 338 games, mean reward -20.940, eps 0.02, speed 13.97 f/s
148833: done 339 games, mean reward -20.940, eps 0.02, speed 15.24 f/s
149595: done 340 games, mean reward -20.940, eps 0.02, speed 15.25 f/s
150357: done 341 games, mean reward -20.940, eps 0.02, speed 15.01 f/s
151119: done 342 games, mean reward -20.940, eps 0.02, speed 15.13 f/s
151881: done 343 games, mean reward -20.940, eps 0.02, speed 14.92 f/s
152643: done 344 games, mean reward -20.940, eps 0.02, speed 15.98 f/s
153424: done 345 games, mean reward -20.940, eps 0.02, speed 14.86 f/s
154186: done 346 games, mean reward -20.940, eps 0.02, speed 14.26 f/s
155010: done 347 games, mean reward -20.940, eps 0.02, speed 15.04 f/s
155772: done 348 games, mean reward -20.940, eps 0.02, speed 14.82 f/s
156590: done 349 games, mean reward -20.940, eps 0.02, speed 15.09 f/s
157352: done 350 games, mean reward -20.940, eps 0.02, speed 14.18 f/s
158142: done 351 games, mean reward -20.940, eps 0.02, speed 14.92 f/s
158932: done 352 games, mean reward -20.940, eps 0.02, speed 14.85 f/s
159694: done 353 games, mean reward -20.940, eps 0.02, speed 14.19 f/s
160531: done 354 games, mean reward -20.940, eps 0.02, speed 15.17 f/s
161340: done 355 games, mean reward -20.940, eps 0.02, speed 14.91 f/s
162180: done 356 games, mean reward -20.930, eps 0.02, speed 14.89 f/s
162961: done 357 games, mean reward -20.940, eps 0.02, speed 13.25 f/s
163783: done 358 games, mean reward -20.940, eps 0.02, speed 14.86 f/s
164545: done 359 games, mean reward -20.940, eps 0.02, speed 15.38 f/s
165367: done 360 games, mean reward -20.940, eps 0.02, speed 14.88 f/s
166157: done 361 games, mean reward -20.940, eps 0.02, speed 14.78 f/s
166919: done 362 games, mean reward -20.940, eps 0.02, speed 14.38 f/s
167700: done 363 games, mean reward -20.940, eps 0.02, speed 14.53 f/s
168462: done 364 games, mean reward -20.940, eps 0.02, speed 13.84 f/s
169224: done 365 games, mean reward -20.950, eps 0.02, speed 14.69 f/s
169986: done 366 games, mean reward -20.950, eps 0.02, speed 15.33 f/s
170810: done 367 games, mean reward -20.950, eps 0.02, speed 15.01 f/s
171572: done 368 games, mean reward -20.950, eps 0.02, speed 14.98 f/s
172334: done 369 games, mean reward -20.950, eps 0.02, speed 14.84 f/s
173096: done 370 games, mean reward -20.950, eps 0.02, speed 14.91 f/s
173858: done 371 games, mean reward -20.950, eps 0.02, speed 14.99 f/s
174648: done 372 games, mean reward -20.950, eps 0.02, speed 13.87 f/s
175410: done 373 games, mean reward -20.950, eps 0.02, speed 14.67 f/s
176232: done 374 games, mean reward -20.950, eps 0.02, speed 13.72 f/s
176994: done 375 games, mean reward -20.950, eps 0.02, speed 14.65 f/s
177756: done 376 games, mean reward -20.950, eps 0.02, speed 14.75 f/s
178592: done 377 games, mean reward -20.940, eps 0.02, speed 14.72 f/s
179382: done 378 games, mean reward -20.940, eps 0.02, speed 15.14 f/s
180144: done 379 games, mean reward -20.940, eps 0.02, speed 14.84 f/s
180906: done 380 games, mean reward -20.940, eps 0.02, speed 14.77 f/s
181728: done 381 games, mean reward -20.940, eps 0.02, speed 14.83 f/s
182490: done 382 games, mean reward -20.940, eps 0.02, speed 14.84 f/s
183252: done 383 games, mean reward -20.940, eps 0.02, speed 13.12 f/s
184042: done 384 games, mean reward -20.940, eps 0.02, speed 14.84 f/s
184804: done 385 games, mean reward -20.940, eps 0.02, speed 13.76 f/s
185566: done 386 games, mean reward -20.940, eps 0.02, speed 15.40 f/s
186430: done 387 games, mean reward -20.930, eps 0.02, speed 15.53 f/s
187282: done 388 games, mean reward -20.930, eps 0.02, speed 16.85 f/s
188072: done 389 games, mean reward -20.930, eps 0.02, speed 15.65 f/s
188834: done 390 games, mean reward -20.930, eps 0.02, speed 15.59 f/s
189596: done 391 games, mean reward -20.940, eps 0.02, speed 16.37 f/s
190358: done 392 games, mean reward -20.940, eps 0.02, speed 15.53 f/s
191138: done 393 games, mean reward -20.940, eps 0.02, speed 14.90 f/s
191900: done 394 games, mean reward -20.950, eps 0.02, speed 15.73 f/s
192810: done 395 games, mean reward -20.950, eps 0.02, speed 15.60 f/s
193572: done 396 games, mean reward -20.950, eps 0.02, speed 15.54 f/s
194422: done 397 games, mean reward -20.950, eps 0.02, speed 14.66 f/s
195184: done 398 games, mean reward -20.950, eps 0.02, speed 15.44 f/s
195974: done 399 games, mean reward -20.950, eps 0.02, speed 15.30 f/s
196736: done 400 games, mean reward -20.950, eps 0.02, speed 14.28 f/s
197558: done 401 games, mean reward -20.950, eps 0.02, speed 15.83 f/s
198320: done 402 games, mean reward -20.950, eps 0.02, speed 15.33 f/s
199142: done 403 games, mean reward -20.950, eps 0.02, speed 15.75 f/s
199904: done 404 games, mean reward -20.950, eps 0.02, speed 16.38 f/s
200666: done 405 games, mean reward -20.950, eps 0.02, speed 16.73 f/s
201506: done 406 games, mean reward -20.940, eps 0.02, speed 15.78 f/s
202268: done 407 games, mean reward -20.940, eps 0.02, speed 14.57 f/s
203058: done 408 games, mean reward -20.940, eps 0.02, speed 15.46 f/s
203894: done 409 games, mean reward -20.940, eps 0.02, speed 15.56 f/s
204656: done 410 games, mean reward -20.940, eps 0.02, speed 15.53 f/s
205446: done 411 games, mean reward -20.940, eps 0.02, speed 14.47 f/s
206347: done 412 games, mean reward -20.930, eps 0.02, speed 15.36 f/s
207137: done 413 games, mean reward -20.930, eps 0.02, speed 13.61 f/s
207977: done 414 games, mean reward -20.920, eps 0.02, speed 15.71 f/s
208739: done 415 games, mean reward -20.920, eps 0.02, speed 15.70 f/s
209562: done 416 games, mean reward -20.920, eps 0.02, speed 15.86 f/s
210324: done 417 games, mean reward -20.920, eps 0.02, speed 14.71 f/s
211086: done 418 games, mean reward -20.920, eps 0.02, speed 15.39 f/s
211866: done 419 games, mean reward -20.920, eps 0.02, speed 15.56 f/s
212646: done 420 games, mean reward -20.920, eps 0.02, speed 15.46 f/s
213426: done 421 games, mean reward -20.920, eps 0.02, speed 15.57 f/s
214188: done 422 games, mean reward -20.920, eps 0.02, speed 15.86 f/s
214998: done 423 games, mean reward -20.920, eps 0.02, speed 15.65 f/s
215760: done 424 games, mean reward -20.920, eps 0.02, speed 14.68 f/s
216522: done 425 games, mean reward -20.920, eps 0.02, speed 15.21 f/s
217344: done 426 games, mean reward -20.920, eps 0.02, speed 14.29 f/s
218226: done 427 games, mean reward -20.930, eps 0.02, speed 15.42 f/s
218988: done 428 games, mean reward -20.940, eps 0.02, speed 15.52 f/s
219838: done 429 games, mean reward -20.940, eps 0.02, speed 15.55 f/s
220600: done 430 games, mean reward -20.940, eps 0.02, speed 15.57 f/s
221362: done 431 games, mean reward -20.940, eps 0.02, speed 15.64 f/s
222142: done 432 games, mean reward -20.940, eps 0.02, speed 15.75 f/s
222994: done 433 games, mean reward -20.940, eps 0.02, speed 15.51 f/s
223756: done 434 games, mean reward -20.940, eps 0.02, speed 15.91 f/s
224518: done 435 games, mean reward -20.940, eps 0.02, speed 15.49 f/s
225520: done 436 games, mean reward -20.940, eps 0.02, speed 15.65 f/s
226282: done 437 games, mean reward -20.940, eps 0.02, speed 15.44 f/s
227072: done 438 games, mean reward -20.940, eps 0.02, speed 15.67 f/s
227834: done 439 games, mean reward -20.940, eps 0.02, speed 13.83 f/s
228624: done 440 games, mean reward -20.940, eps 0.02, speed 15.61 f/s
229386: done 441 games, mean reward -20.940, eps 0.02, speed 15.65 f/s
230176: done 442 games, mean reward -20.940, eps 0.02, speed 15.66 f/s
230938: done 443 games, mean reward -20.940, eps 0.02, speed 15.47 f/s
231838: done 444 games, mean reward -20.930, eps 0.02, speed 16.00 f/s
232600: done 445 games, mean reward -20.930, eps 0.02, speed 15.74 f/s
233381: done 446 games, mean reward -20.930, eps 0.02, speed 15.88 f/s
234143: done 447 games, mean reward -20.930, eps 0.02, speed 15.81 f/s
234905: done 448 games, mean reward -20.930, eps 0.02, speed 15.98 f/s
