837: done 1 games, mean reward -21.000, eps 0.99, speed 799.22 f/s
59194: done 65 games, mean reward -20.462, eps 0.41, speed 14.21 f/s
60016: done 66 games, mean reward -20.470, eps 0.40, speed 14.41 f/s
60880: done 67 games, mean reward -20.463, eps 0.39, speed 14.07 f/s
61704: done 68 games, mean reward -20.471, eps 0.38, speed 14.03 f/s
62494: done 69 games, mean reward -20.478, eps 0.38, speed 14.02 f/s
63335: done 70 games, mean reward -20.471, eps 0.37, speed 13.99 f/s
64217: done 71 games, mean reward -20.479, eps 0.36, speed 14.12 f/s
65039: done 72 games, mean reward -20.486, eps 0.35, speed 14.08 f/s
66154: done 73 games, mean reward -20.466, eps 0.34, speed 13.91 f/s
67040: done 74 games, mean reward -20.473, eps 0.33, speed 14.03 f/s
67989: done 75 games, mean reward -20.467, eps 0.32, speed 13.79 f/s
68779: done 76 games, mean reward -20.474, eps 0.31, speed 13.80 f/s
69541: done 77 games, mean reward -20.481, eps 0.30, speed 13.77 f/s
70322: done 78 games, mean reward -20.487, eps 0.30, speed 13.24 f/s
71209: done 79 games, mean reward -20.481, eps 0.29, speed 13.34 f/s
71999: done 80 games, mean reward -20.488, eps 0.28, speed 12.88 f/s
72886: done 81 games, mean reward -20.481, eps 0.27, speed 12.84 f/s
73722: done 82 games, mean reward -20.476, eps 0.26, speed 12.65 f/s
74563: done 83 games, mean reward -20.482, eps 0.25, speed 13.20 f/s
75353: done 84 games, mean reward -20.488, eps 0.25, speed 12.18 f/s
76233: done 85 games, mean reward -20.494, eps 0.24, speed 12.07 f/s
77055: done 86 games, mean reward -20.500, eps 0.23, speed 11.84 f/s
77956: done 87 games, mean reward -20.494, eps 0.22, speed 11.99 f/s
78778: done 88 games, mean reward -20.500, eps 0.21, speed 11.95 f/s
79676: done 89 games, mean reward -20.506, eps 0.20, speed 11.75 f/s
80516: done 90 games, mean reward -20.500, eps 0.19, speed 11.73 f/s
81338: done 91 games, mean reward -20.505, eps 0.19, speed 11.84 f/s
82100: done 92 games, mean reward -20.511, eps 0.18, speed 12.22 f/s
82978: done 93 games, mean reward -20.516, eps 0.17, speed 11.84 f/s
83814: done 94 games, mean reward -20.511, eps 0.16, speed 12.03 f/s
84604: done 95 games, mean reward -20.516, eps 0.15, speed 11.83 f/s
85740: done 96 games, mean reward -20.500, eps 0.14, speed 12.21 f/s
86618: done 97 games, mean reward -20.505, eps 0.13, speed 12.11 f/s
87408: done 98 games, mean reward -20.510, eps 0.13, speed 11.88 f/s
88198: done 99 games, mean reward -20.515, eps 0.12, speed 11.71 f/s
89069: done 100 games, mean reward -20.520, eps 0.11, speed 11.72 f/s
90013: done 101 games, mean reward -20.510, eps 0.10, speed 11.78 f/s
90794: done 102 games, mean reward -20.510, eps 0.09, speed 11.69 f/s
91738: done 103 games, mean reward -20.520, eps 0.08, speed 11.63 f/s
92718: done 104 games, mean reward -20.530, eps 0.07, speed 12.03 f/s
93499: done 105 games, mean reward -20.540, eps 0.07, speed 11.94 f/s
94397: done 106 games, mean reward -20.550, eps 0.06, speed 11.58 f/s
95219: done 107 games, mean reward -20.550, eps 0.05, speed 11.74 f/s
96069: done 108 games, mean reward -20.560, eps 0.04, speed 11.66 f/s
96953: done 109 games, mean reward -20.560, eps 0.03, speed 11.77 f/s
97839: done 110 games, mean reward -20.570, eps 0.02, speed 11.67 f/s
98601: done 111 games, mean reward -20.570, eps 0.02, speed 11.66 f/s
99546: done 112 games, mean reward -20.580, eps 0.02, speed 11.69 f/s
100327: done 113 games, mean reward -20.580, eps 0.02, speed 11.63 f/s
101137: done 114 games, mean reward -20.580, eps 0.02, speed 11.54 f/s
101946: done 115 games, mean reward -20.590, eps 0.02, speed 11.76 f/s
102727: done 116 games, mean reward -20.600, eps 0.02, speed 11.60 f/s
103508: done 117 games, mean reward -20.600, eps 0.02, speed 11.98 f/s
104270: done 118 games, mean reward -20.600, eps 0.02, speed 12.52 f/s
105110: done 119 games, mean reward -20.600, eps 0.02, speed 11.12 f/s
105900: done 120 games, mean reward -20.600, eps 0.02, speed 11.32 f/s
106740: done 121 games, mean reward -20.590, eps 0.02, speed 11.54 f/s
107502: done 122 games, mean reward -20.590, eps 0.02, speed 11.77 f/s
108311: done 123 games, mean reward -20.600, eps 0.02, speed 12.58 f/s
109091: done 124 games, mean reward -20.600, eps 0.02, speed 11.63 f/s
109941: done 125 games, mean reward -20.610, eps 0.02, speed 12.03 f/s
110759: done 126 games, mean reward -20.610, eps 0.02, speed 11.73 f/s
111549: done 127 games, mean reward -20.610, eps 0.02, speed 11.82 f/s
112339: done 128 games, mean reward -20.620, eps 0.02, speed 11.88 f/s
113291: done 129 games, mean reward -20.630, eps 0.02, speed 11.61 f/s
114053: done 130 games, mean reward -20.650, eps 0.02, speed 11.62 f/s
114815: done 131 games, mean reward -20.660, eps 0.02, speed 11.68 f/s
115577: done 132 games, mean reward -20.670, eps 0.02, speed 11.11 f/s
116437: done 133 games, mean reward -20.690, eps 0.02, speed 11.89 f/s
117199: done 134 games, mean reward -20.690, eps 0.02, speed 10.92 f/s
117979: done 135 games, mean reward -20.700, eps 0.02, speed 11.54 f/s
118891: done 136 games, mean reward -20.710, eps 0.02, speed 10.64 f/s
119653: done 137 games, mean reward -20.710, eps 0.02, speed 11.58 f/s
120685: done 138 games, mean reward -20.700, eps 0.02, speed 11.61 f/s
121565: done 139 games, mean reward -20.700, eps 0.02, speed 11.13 f/s
122389: done 140 games, mean reward -20.700, eps 0.02, speed 11.59 f/s
123189: done 141 games, mean reward -20.710, eps 0.02, speed 11.00 f/s
123951: done 142 games, mean reward -20.720, eps 0.02, speed 0.67 f/s
124822: done 143 games, mean reward -20.720, eps 0.02, speed 11.62 f/s
125644: done 144 games, mean reward -20.720, eps 0.02, speed 11.55 f/s
126472: done 145 games, mean reward -20.740, eps 0.02, speed 11.73 f/s
127296: done 146 games, mean reward -20.760, eps 0.02, speed 11.76 f/s
128118: done 147 games, mean reward -20.760, eps 0.02, speed 12.08 f/s
128942: done 148 games, mean reward -20.760, eps 0.02, speed 11.87 f/s
129766: done 149 games, mean reward -20.760, eps 0.02, speed 11.26 f/s
130588: done 150 games, mean reward -20.770, eps 0.02, speed 11.39 f/s
131369: done 151 games, mean reward -20.780, eps 0.02, speed 10.67 f/s
132191: done 152 games, mean reward -20.780, eps 0.02, speed 11.42 f/s
133092: done 153 games, mean reward -20.780, eps 0.02, speed 11.01 f/s
133942: done 154 games, mean reward -20.790, eps 0.02, speed 10.94 f/s
134751: done 155 games, mean reward -20.800, eps 0.02, speed 9.93 f/s
135575: done 156 games, mean reward -20.810, eps 0.02, speed 9.57 f/s
136417: done 157 games, mean reward -20.810, eps 0.02, speed 10.26 f/s
137267: done 158 games, mean reward -20.810, eps 0.02, speed 10.60 f/s
138029: done 159 games, mean reward -20.820, eps 0.02, speed 10.47 f/s
138881: done 160 games, mean reward -20.820, eps 0.02, speed 10.80 f/s
139824: done 161 games, mean reward -20.820, eps 0.02, speed 11.66 f/s
140815: done 162 games, mean reward -20.820, eps 0.02, speed 12.08 f/s
141638: done 163 games, mean reward -20.820, eps 0.02, speed 11.53 f/s
142419: done 164 games, mean reward -20.820, eps 0.02, speed 12.06 f/s
143181: done 165 games, mean reward -20.820, eps 0.02, speed 11.93 f/s
143943: done 166 games, mean reward -20.820, eps 0.02, speed 11.33 f/s
144766: done 167 games, mean reward -20.830, eps 0.02, speed 11.30 f/s
145650: done 168 games, mean reward -20.830, eps 0.02, speed 10.60 f/s
146493: done 169 games, mean reward -20.830, eps 0.02, speed 11.11 f/s
147255: done 170 games, mean reward -20.840, eps 0.02, speed 11.57 f/s
148078: done 171 games, mean reward -20.840, eps 0.02, speed 10.89 f/s
148859: done 172 games, mean reward -20.840, eps 0.02, speed 11.15 f/s
149683: done 173 games, mean reward -20.860, eps 0.02, speed 11.03 f/s
150473: done 174 games, mean reward -20.860, eps 0.02, speed 11.70 f/s
151263: done 175 games, mean reward -20.870, eps 0.02, speed 11.92 f/s
152043: done 176 games, mean reward -20.870, eps 0.02, speed 11.82 f/s
152805: done 177 games, mean reward -20.870, eps 0.02, speed 11.78 f/s
153738: done 178 games, mean reward -20.860, eps 0.02, speed 11.67 f/s
154584: done 179 games, mean reward -20.870, eps 0.02, speed 11.70 f/s
155374: done 180 games, mean reward -20.870, eps 0.02, speed 11.74 f/s
156196: done 181 games, mean reward -20.880, eps 0.02, speed 11.68 f/s
157073: done 182 games, mean reward -20.880, eps 0.02, speed 10.78 f/s
157955: done 183 games, mean reward -20.880, eps 0.02, speed 11.51 f/s
158777: done 184 games, mean reward -20.880, eps 0.02, speed 11.96 f/s
159618: done 185 games, mean reward -20.880, eps 0.02, speed 11.04 f/s
160380: done 186 games, mean reward -20.880, eps 0.02, speed 12.23 f/s
161170: done 187 games, mean reward -20.890, eps 0.02, speed 11.40 f/s
161998: done 188 games, mean reward -20.890, eps 0.02, speed 11.27 f/s
162871: done 189 games, mean reward -20.880, eps 0.02, speed 11.02 f/s
163652: done 190 games, mean reward -20.890, eps 0.02, speed 10.19 f/s
164502: done 191 games, mean reward -20.890, eps 0.02, speed 10.75 f/s
165352: done 192 games, mean reward -20.890, eps 0.02, speed 9.43 f/s
166253: done 193 games, mean reward -20.880, eps 0.02, speed 10.88 f/s
167034: done 194 games, mean reward -20.890, eps 0.02, speed 9.43 f/s
167814: done 195 games, mean reward -20.890, eps 0.02, speed 8.51 f/s
168722: done 196 games, mean reward -20.900, eps 0.02, speed 8.64 f/s
169521: done 197 games, mean reward -20.900, eps 0.02, speed 8.45 f/s
170311: done 198 games, mean reward -20.900, eps 0.02, speed 8.54 f/s
171120: done 199 games, mean reward -20.900, eps 0.02, speed 8.57 f/s
172056: done 200 games, mean reward -20.880, eps 0.02, speed 11.01 f/s
172880: done 201 games, mean reward -20.890, eps 0.02, speed 11.32 f/s
173642: done 202 games, mean reward -20.890, eps 0.02, speed 11.51 f/s
174422: done 203 games, mean reward -20.890, eps 0.02, speed 11.43 f/s
175264: done 204 games, mean reward -20.900, eps 0.02, speed 11.69 f/s
176116: done 205 games, mean reward -20.900, eps 0.02, speed 11.59 f/s
176994: done 206 games, mean reward -20.900, eps 0.02, speed 11.40 f/s
177756: done 207 games, mean reward -20.900, eps 0.02, speed 11.51 f/s
178578: done 208 games, mean reward -20.900, eps 0.02, speed 11.71 f/s
179368: done 209 games, mean reward -20.900, eps 0.02, speed 11.66 f/s
180176: done 210 games, mean reward -20.900, eps 0.02, speed 11.59 f/s
180938: done 211 games, mean reward -20.900, eps 0.02, speed 11.99 f/s
181700: done 212 games, mean reward -20.900, eps 0.02, speed 11.48 f/s
182524: done 213 games, mean reward -20.900, eps 0.02, speed 10.52 f/s
183286: done 214 games, mean reward -20.900, eps 0.02, speed 11.58 f/s
184076: done 215 games, mean reward -20.900, eps 0.02, speed 11.57 f/s
184885: done 216 games, mean reward -20.900, eps 0.02, speed 11.72 f/s
185647: done 217 games, mean reward -20.900, eps 0.02, speed 11.98 f/s
186427: done 218 games, mean reward -20.900, eps 0.02, speed 11.99 f/s
187189: done 219 games, mean reward -20.910, eps 0.02, speed 12.02 f/s
187951: done 220 games, mean reward -20.910, eps 0.02, speed 12.06 f/s
188792: done 221 games, mean reward -20.920, eps 0.02, speed 11.89 f/s
189554: done 222 games, mean reward -20.920, eps 0.02, speed 12.08 f/s
190396: done 223 games, mean reward -20.920, eps 0.02, speed 11.94 f/s
191158: done 224 games, mean reward -20.920, eps 0.02, speed 11.95 f/s
192041: done 225 games, mean reward -20.920, eps 0.02, speed 11.90 f/s
192865: done 226 games, mean reward -20.920, eps 0.02, speed 11.93 f/s
193645: done 227 games, mean reward -20.920, eps 0.02, speed 11.79 f/s
194426: done 228 games, mean reward -20.920, eps 0.02, speed 12.00 f/s
195268: done 229 games, mean reward -20.920, eps 0.02, speed 11.99 f/s
196058: done 230 games, mean reward -20.920, eps 0.02, speed 11.95 f/s
196943: done 231 games, mean reward -20.920, eps 0.02, speed 12.23 f/s
197793: done 232 games, mean reward -20.920, eps 0.02, speed 11.91 f/s
198583: done 233 games, mean reward -20.920, eps 0.02, speed 11.87 f/s
199405: done 234 games, mean reward -20.920, eps 0.02, speed 11.97 f/s
200167: done 235 games, mean reward -20.920, eps 0.02, speed 11.93 f/s
201202: done 236 games, mean reward -20.910, eps 0.02, speed 12.14 f/s
202052: done 237 games, mean reward -20.910, eps 0.02, speed 11.92 f/s
203029: done 238 games, mean reward -20.910, eps 0.02, speed 12.28 f/s
203853: done 239 games, mean reward -20.910, eps 0.02, speed 12.12 f/s
204763: done 240 games, mean reward -20.910, eps 0.02, speed 12.25 f/s
205585: done 241 games, mean reward -20.910, eps 0.02, speed 12.09 f/s
206407: done 242 games, mean reward -20.910, eps 0.02, speed 11.92 f/s
207169: done 243 games, mean reward -20.910, eps 0.02, speed 12.32 f/s
207931: done 244 games, mean reward -20.910, eps 0.02, speed 11.90 f/s
208749: done 245 games, mean reward -20.910, eps 0.02, speed 11.76 f/s
209530: done 246 games, mean reward -20.910, eps 0.02, speed 12.05 f/s
210338: done 247 games, mean reward -20.910, eps 0.02, speed 11.80 f/s
211279: done 248 games, mean reward -20.910, eps 0.02, speed 12.11 f/s
212103: done 249 games, mean reward -20.910, eps 0.02, speed 12.01 f/s
213006: done 250 games, mean reward -20.910, eps 0.02, speed 11.83 f/s
213907: done 251 games, mean reward -20.900, eps 0.02, speed 11.95 f/s
214697: done 252 games, mean reward -20.900, eps 0.02, speed 11.93 f/s
215459: done 253 games, mean reward -20.900, eps 0.02, speed 12.03 f/s
216348: done 254 games, mean reward -20.900, eps 0.02, speed 11.94 f/s
217172: done 255 games, mean reward -20.900, eps 0.02, speed 12.10 f/s
218023: done 256 games, mean reward -20.900, eps 0.02, speed 11.96 f/s
218901: done 257 games, mean reward -20.890, eps 0.02, speed 12.03 f/s
219691: done 258 games, mean reward -20.890, eps 0.02, speed 11.97 f/s
220513: done 259 games, mean reward -20.890, eps 0.02, speed 12.28 f/s
221518: done 260 games, mean reward -20.890, eps 0.02, speed 11.90 f/s
222280: done 261 games, mean reward -20.890, eps 0.02, speed 11.89 f/s
223042: done 262 games, mean reward -20.890, eps 0.02, speed 11.84 f/s
223866: done 263 games, mean reward -20.890, eps 0.02, speed 12.01 f/s
224628: done 264 games, mean reward -20.890, eps 0.02, speed 11.99 f/s
225452: done 265 games, mean reward -20.890, eps 0.02, speed 11.85 f/s
226214: done 266 games, mean reward -20.890, eps 0.02, speed 11.79 f/s
226976: done 267 games, mean reward -20.890, eps 0.02, speed 12.14 f/s
227860: done 268 games, mean reward -20.890, eps 0.02, speed 12.06 f/s
228792: done 269 games, mean reward -20.890, eps 0.02, speed 12.48 f/s
229712: done 270 games, mean reward -20.890, eps 0.02, speed 12.02 f/s
230493: done 271 games, mean reward -20.890, eps 0.02, speed 11.81 f/s
231316: done 272 games, mean reward -20.890, eps 0.02, speed 12.43 f/s
232157: done 273 games, mean reward -20.890, eps 0.02, speed 12.32 f/s
233130: done 274 games, mean reward -20.890, eps 0.02, speed 12.16 f/s
233920: done 275 games, mean reward -20.890, eps 0.02, speed 12.09 f/s
234790: done 276 games, mean reward -20.890, eps 0.02, speed 11.99 f/s
235741: done 277 games, mean reward -20.880, eps 0.02, speed 11.97 f/s
236591: done 278 games, mean reward -20.890, eps 0.02, speed 12.01 f/s
237505: done 279 games, mean reward -20.870, eps 0.02, speed 11.86 f/s
238388: done 280 games, mean reward -20.870, eps 0.02, speed 11.92 f/s
239168: done 281 games, mean reward -20.870, eps 0.02, speed 12.11 f/s
239930: done 282 games, mean reward -20.880, eps 0.02, speed 11.81 f/s
240752: done 283 games, mean reward -20.880, eps 0.02, speed 12.05 f/s
241602: done 284 games, mean reward -20.880, eps 0.02, speed 12.08 f/s
242424: done 285 games, mean reward -20.880, eps 0.02, speed 12.04 f/s
243246: done 286 games, mean reward -20.880, eps 0.02, speed 12.02 f/s
244008: done 287 games, mean reward -20.880, eps 0.02, speed 12.06 f/s
244908: done 288 games, mean reward -20.870, eps 0.02, speed 12.11 f/s
245730: done 289 games, mean reward -20.880, eps 0.02, speed 12.17 f/s
246607: done 290 games, mean reward -20.870, eps 0.02, speed 12.47 f/s
247425: done 291 games, mean reward -20.870, eps 0.02, speed 12.12 f/s
248398: done 292 games, mean reward -20.870, eps 0.02, speed 12.47 f/s
249412: done 293 games, mean reward -20.860, eps 0.02, speed 12.09 f/s
250235: done 294 games, mean reward -20.860, eps 0.02, speed 12.06 f/s
250997: done 295 games, mean reward -20.860, eps 0.02, speed 12.04 f/s
251880: done 296 games, mean reward -20.870, eps 0.02, speed 12.00 f/s
252642: done 297 games, mean reward -20.870, eps 0.02, speed 11.97 f/s
253464: done 298 games, mean reward -20.870, eps 0.02, speed 12.40 f/s
254286: done 299 games, mean reward -20.870, eps 0.02, speed 12.17 f/s
255172: done 300 games, mean reward -20.890, eps 0.02, speed 11.99 f/s
255995: done 301 games, mean reward -20.890, eps 0.02, speed 12.17 f/s
256776: done 302 games, mean reward -20.890, eps 0.02, speed 12.24 f/s
257655: done 303 games, mean reward -20.890, eps 0.02, speed 12.14 f/s
258525: done 304 games, mean reward -20.890, eps 0.02, speed 12.12 f/s
259409: done 305 games, mean reward -20.890, eps 0.02, speed 11.95 f/s
260251: done 306 games, mean reward -20.890, eps 0.02, speed 11.65 f/s
261032: done 307 games, mean reward -20.890, eps 0.02, speed 12.09 f/s
261794: done 308 games, mean reward -20.890, eps 0.02, speed 12.03 f/s
262604: done 309 games, mean reward -20.890, eps 0.02, speed 12.02 f/s
263549: done 310 games, mean reward -20.890, eps 0.02, speed 11.50 f/s
264373: done 311 games, mean reward -20.890, eps 0.02, speed 12.24 f/s
265197: done 312 games, mean reward -20.890, eps 0.02, speed 10.65 f/s
266040: done 313 games, mean reward -20.890, eps 0.02, speed 11.32 f/s
266802: done 314 games, mean reward -20.890, eps 0.02, speed 11.34 f/s
267593: done 315 games, mean reward -20.890, eps 0.02, speed 11.84 f/s
268416: done 316 games, mean reward -20.890, eps 0.02, speed 11.92 f/s
269178: done 317 games, mean reward -20.890, eps 0.02, speed 11.26 f/s
269940: done 318 games, mean reward -20.890, eps 0.02, speed 12.24 f/s
270702: done 319 games, mean reward -20.890, eps 0.02, speed 11.95 f/s
271498: done 320 games, mean reward -20.890, eps 0.02, speed 12.15 f/s
272260: done 321 games, mean reward -20.890, eps 0.02, speed 12.06 f/s
273022: done 322 games, mean reward -20.890, eps 0.02, speed 11.97 f/s
273906: done 323 games, mean reward -20.890, eps 0.02, speed 10.97 f/s
274850: done 324 games, mean reward -20.890, eps 0.02, speed 12.17 f/s
275754: done 325 games, mean reward -20.890, eps 0.02, speed 12.16 f/s
276544: done 326 games, mean reward -20.890, eps 0.02, speed 12.03 f/s
277325: done 327 games, mean reward -20.890, eps 0.02, speed 11.96 f/s
278177: done 328 games, mean reward -20.890, eps 0.02, speed 11.24 f/s
279000: done 329 games, mean reward -20.890, eps 0.02, speed 12.28 f/s
279822: done 330 games, mean reward -20.890, eps 0.02, speed 12.01 f/s
280769: done 331 games, mean reward -20.890, eps 0.02, speed 10.03 f/s
281531: done 332 games, mean reward -20.890, eps 0.02, speed 8.12 f/s
282395: done 333 games, mean reward -20.880, eps 0.02, speed 8.13 f/s
283280: done 334 games, mean reward -20.880, eps 0.02, speed 7.74 f/s
284102: done 335 games, mean reward -20.880, eps 0.02, speed 8.74 f/s
284984: done 336 games, mean reward -20.890, eps 0.02, speed 10.06 f/s
285764: done 337 games, mean reward -20.890, eps 0.02, speed 11.86 f/s
286614: done 338 games, mean reward -20.900, eps 0.02, speed 12.06 f/s
287436: done 339 games, mean reward -20.900, eps 0.02, speed 12.18 f/s
288258: done 340 games, mean reward -20.900, eps 0.02, speed 11.94 f/s
289080: done 341 games, mean reward -20.900, eps 0.02, speed 12.05 f/s
289921: done 342 games, mean reward -20.900, eps 0.02, speed 10.86 f/s
290683: done 343 games, mean reward -20.900, eps 0.02, speed 10.56 f/s
291505: done 344 games, mean reward -20.900, eps 0.02, speed 10.77 f/s
292323: done 345 games, mean reward -20.900, eps 0.02, speed 12.51 f/s
293103: done 346 games, mean reward -20.900, eps 0.02, speed 12.33 f/s
293883: done 347 games, mean reward -20.900, eps 0.02, speed 12.07 f/s
294723: done 348 games, mean reward -20.890, eps 0.02, speed 11.45 f/s
295635: done 349 games, mean reward -20.890, eps 0.02, speed 10.54 f/s
296397: done 350 games, mean reward -20.890, eps 0.02, speed 11.22 f/s
